iso,gid,iso3,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
BGD.3.1.23_1,BGD.3.1.23_1,BGD,Khilkhet,0.67,131259,0.998591556509746,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.24_1,BGD.3.1.24_1,BGD,Kotwali,0.67,92058,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.25_1,BGD.3.1.25_1,BGD,Lalbagh,0.67,406757,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.26_1,BGD.3.1.26_1,BGD,Mirpur,0.67,792362,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.27_1,BGD.3.1.27_1,BGD,Mohammadpur,0.67,533281,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.28_1,BGD.3.1.28_1,BGD,Motijheel,0.67,306883,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.29_1,BGD.3.1.29_1,BGD,Nawabganj,0.67,354119,0.990072063260567,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.30_1,BGD.3.1.30_1,BGD,New Market,0.67,120464,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.31_1,BGD.3.1.31_1,BGD,Pallabi,0.67,715210,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.32_1,BGD.3.1.32_1,BGD,Paltan,0.67,92811,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
